,name,value_dest
0,Calculating,"""Calculating..."""
1,CancelTrip,Cancel Trip
2,CommonStreetNumber,#
3,CommonUndoButtonText,Undo
4,EnterBetweenParkingInformation,Enter %1$s - %2$s
5,ExitBetweenParkingInformation,Exit %1$s - %2$s
6,LastUpdate,Last Update:
7,MRTStationItemLabel,Subway/Light Rail Stations
8,MinimumParkingPriceInformation,From
9,RecentDestinationsClearedMessage,Recent Destinations Cleared
10,RecentDestinationsRestoredMessage,Recent Destinations Restored
11,SdCardInfo,SD card info:
12,SdcardErrorTitle,Map Data Error
13,SdcardFunctionNotProperlyErrorMessage,Map data is not functioning properly.
14,SdcardNotValidForVehicleErrorMessage,Map data is not valid in this vehicle for navigation. Please consult your dealer for more information.
15,SdcardRemovedErrorMessage,Map data is not functioning properly.
16,SearchHistoryClearedMessage,Search History Cleared
17,SearchHistoryRestoredMessage,Search History Restored
18,TripAssistMessage,Smart Destination learns and predicts your favorite stops to help you get there faster without any typing.\n\nManage Smart Destination in Options > Settings > Predictive Navigation.
19,Update,Update
20,Updating,Updating
21,acquiringGpsOnSplash,Acquiring GPS
22,acquiringLocalTrafficOnSplash,Acquiring Local Traffic
23,actionFailed,Action Failed
24,addNewDestination,Add New Destination
25,addressCustom,Custom
26,addressFormatHint,Keyword or Address
27,addressHintText,Tap to set up
28,addressHome,Home
29,addressItemLabel,Address
30,addressSearchFirstHint,Street
31,addressSearchSecondHint,Number
32,addressSearchThirdHint,"City, Country"
33,addressWork,Work
34,adjustFiltersVar,Try adjusting the filters to see more results.
35,advisor,Advisor
36,airportItemLabel,Airports
37,alertBetterRouteFound,Better route found
38,alertCentralLaneClose,Center Lane Closed
39,alertLeftLaneEnd,Left Lane Ends
40,alertMsgAccidentAhead,Accident Ahead
41,alertMsgCautionPotentialAccidentArea,Potential Accident Area
42,alertMsgCongestionAhead,Congestion Ahead
43,alertMsgConstructionAhead,Construction Ahead
44,alertMsgDifficultDrivingConditionAhead,Difficult Driving Condition Ahead
45,alertMsgDisabledVehicleAhead,Disabled Vehicle Ahead
46,alertMsgFrequentTrafficAccidentAhead,Frequent Traffic Accidents Ahead
47,alertMsgLaneRestrictionCameraAhead,Lane Restriction Camera Ahead
48,alertMsgNoLeftOrRightTurnAhead,No Left or Right Turn Ahead
49,alertMsgNoLeftTurnAhead,No Left Turn Ahead
50,alertMsgNoRightTurnAhead,No Right Turn Ahead
51,alertMsgOneWayRoadAhead,One-Way Road Ahead
52,alertMsgQuickTurnAhead,Quick Turn Ahead
53,alertMsgRedLightCameraAhead,Red Light Camera Ahead
54,alertMsgReduceSpeed,Reduce Speed
55,alertMsgRestrictedRoadAhead,Restricted Road Ahead
56,alertMsgRoadClosureAhaed,Road Closure Ahead
57,alertMsgRoadMergesFromLeft,Road Merges from Left
58,alertMsgRoadMergesFromRight,Road Merges from Right
59,alertMsgRockSlideAreaOnLeft,Rock Slide Area on Left
60,alertMsgRockSlideAreaOnRight,Rock Slide Area on Right
61,alertMsgSharpDetoursAhead,Sharp Detours Ahead
62,alertMsgSharpLeftAhead,Sharp Left Ahead
63,alertMsgSharpRightAhead,Sharp Right Ahead
64,alertMsgSlipperyRoadAhead,Slippery Road Ahead
65,alertMsgSnowIceAhead,Snow & Ice Ahead
66,alertMsgSpeedBumpAhead,Speed Bump Ahead
67,alertMsgSpeedTrapAhead,Speed Trap Ahead
68,alertMsgTrafficCameraAhead,Traffic Camera Ahead
69,alertMsgTunnel,Tunnel on Route
70,alertMsgTunnelAhead,Tunnel Ahead
71,alertMsgWindingRoadAhead,Winding Road Ahead
72,alertNoNetworkForFilterChargingNetworks,No network connection.\nCharging networks filter is not applied.
73,alertOptionsLabel,Alert Preferences
74,alertOptionsTitle,Alert Preferences
75,alertPreferencesAllAlerts,All Alerts
76,alertPreferencesCongestionAlerts,Traffic Alerts
77,alertPreferencesRoadDiversionAlerts,Road Diversion Alerts
78,alertPreferencesRoadSafetyAlerts,Road Safety Alerts
79,alertPreferencesScreenTitle,Alert Preferences
80,alertPreferencesTrafficCameraAlerts,Traffic Camera Alerts
81,alertRailroadCrossing,Railroad Crossing Ahead
82,alertRedLightSpeedCamera,Red Light Speed Camera Ahead
83,alertRightLaneEnd,Right Lane Ends
84,alertSchoolZone,School Zone Ahead
85,alertSpeedCamera,Speed Camera Ahead
86,alertTnCMessage,Feature Not Available While Driving
87,alertmsgFerry,Ferry on Route
88,alertmsgHighWay,Highway on Route
89,alertmsgTollRoad,Toll Road on Route
90,alertmsgUnpavedRoad,Unpaved Road on Route
91,allDayFreeParkingOnBubble,Free
92,amusementParkItemLabel,Amusement Parks
93,annotationCVP0ResumeTripText,Resume Trip
94,annotationCVP0SetUpHome,Set Up %1$s
95,annotationCVP0TimeToHome,%1$s to %2$s
96,annotationCVP0TimeVia,via %1$s
97,askBeforeRerouting,Ask before Rerouting
98,atmItemLabel,ATMs
99,atmScreenTitle,ATMs
100,attractionItemLabel,Attractions
101,attractionScreenTitle,Attractions
102,attractionSubItemLabel,All Attractions
103,autoPartsItemLabel,Auto Parts
104,autoRerouteToBetterRoute,Auto Reroute to Better Route
105,automotiveItemLabel,Automotive
106,avoidSegmentButtonN,Cancel
107,avoidSegmentButtonY,Avoid
108,avoidSegmentMessage,Avoiding %1$s will recalculate the route from that turn onward.
109,avoidSegmentTitle,Avoid %1$s?
110,badmintonCourtItemLabel,Badminton Courts
111,bakeryItemLabel,Bakeries
112,bankItemLabel,Banks
113,barItemLabel,Bars/Pubs
114,barbecueItemLabel,Barbecue
115,barsAsia,Bars
116,basketballArenaItemLabel,Basketball Courts
117,beachItemLabel,Beaches
118,beautySalonItemLabel,Beauty Salons
119,bedAndBreakfastItemLabel,Bed and Breakfasts
120,benefitDataAnonymous,Help Improve Product Quality
121,benefitDataWithProfileInfo,Enable Personalized Navigation
122,bestMatchDescription,Sort results based on what is popular and your personal preferences.
123,betterRouteMessageUse,Use %1$s.
124,blackSpotAhead,Black Spot Ahead
125,bookStoreItemLabel,Bookstores
126,bowlingItemLabel,Bowling Alleys
127,btnAcceptContinue,Accept and Continue
128,btnAddChargingStop,Add EV Chargers
129,btnChange,Change
130,btnContinue,Continue
131,btnContinueTrip,Continue Trip
132,btnFindChargingStations,Find EV Chargers
133,btnGetStarted,Get Started
134,btnGoAnyway,Go Anyway
135,btnGoBack,Go Back
136,btnGotIt,Got It
137,btnHintAddingChargers,Adding EV Chargers…
138,btnHintCalculating,Calculating Route…
139,btnHintCanceling,Canceling…
140,btnHintOutofRange,Out of Range…
141,btnHintUpdatingChargers,Updating EV Chargers…
142,btnKeepCharging,Keep Charging
143,btnLabelRestart,Restart
144,btnNotThisTime,Not This Time
145,btnUpdate,Update
146,btn_delete,Delete
147,btn_removeFromFavorite,Remove from Favorite
148,btn_saveToFavorite,Save to Favorite
149,bubbleChange,Change
150,bubbleEndPoint,End Point
151,bubbleNear,Near
152,bubbleNoChargingNearDest,No Chargers in Range
153,bubbleOutOfRange,Out of Range
154,bubbleStartPoint,Starting Point
155,busStationItemLabel,Bus Stations
156,buttonDoNotSaveRecordedRoute,Don\'t Save
157,buttonExitNav,Exit Nav
158,buttonLearnMore,Learn More
159,buttonNextSDcard,Next
160,buttonRecordNewRoute,Record New Route
161,buttonSaveRecordedRoute,Save
162,buttonStartTraceRoute,Trace Route
163,campingItemLabel,Campgrounds
164,candidateOthers,Other Road:
165,candidateRamp,Ramp:
